"timestamp","rpm_participant","rpm_friends","rpm_outbound"
"Tue Jan 16 2024 19:17:00 GMT-0800 (Pacific Standard Time)","410","291","1057"
"Tue Jan 16 2024 19:18:00 GMT-0800 (Pacific Standard Time)","4350","2914","10705"
"Tue Jan 16 2024 19:19:00 GMT-0800 (Pacific Standard Time)","4304","2880","10707"
"Tue Jan 16 2024 19:20:00 GMT-0800 (Pacific Standard Time)","4166","2825","10526"
"Tue Jan 16 2024 19:21:00 GMT-0800 (Pacific Standard Time)","3850","2594","9503"
"Tue Jan 16 2024 19:22:00 GMT-0800 (Pacific Standard Time)","4160","2834","10468"
"Tue Jan 16 2024 19:23:00 GMT-0800 (Pacific Standard Time)","3740","2542","9376"
"Tue Jan 16 2024 19:24:00 GMT-0800 (Pacific Standard Time)","4004","2658","9956"
"Tue Jan 16 2024 19:25:00 GMT-0800 (Pacific Standard Time)","3870","2576","9623"
"Tue Jan 16 2024 19:26:00 GMT-0800 (Pacific Standard Time)","4076","2797","10324"
"Tue Jan 16 2024 19:27:00 GMT-0800 (Pacific Standard Time)","3810","2558","9382"
"Tue Jan 16 2024 19:28:00 GMT-0800 (Pacific Standard Time)","3880","2583","9645"
"Tue Jan 16 2024 19:29:00 GMT-0800 (Pacific Standard Time)","4020","2720","9971"
"Tue Jan 16 2024 19:30:00 GMT-0800 (Pacific Standard Time)","3860","2567","9727"
"Tue Jan 16 2024 19:31:00 GMT-0800 (Pacific Standard Time)","3793","2556","9515"
"Tue Jan 16 2024 19:32:00 GMT-0800 (Pacific Standard Time)","3855","2642","9628"
"Tue Jan 16 2024 19:33:00 GMT-0800 (Pacific Standard Time)","3892","2575","9680"
"Tue Jan 16 2024 19:34:00 GMT-0800 (Pacific Standard Time)","3971","2595","9752"
"Tue Jan 16 2024 19:35:00 GMT-0800 (Pacific Standard Time)","3984","2702","9957"
"Tue Jan 16 2024 19:36:00 GMT-0800 (Pacific Standard Time)","3925","2674","9986"
"Tue Jan 16 2024 19:37:00 GMT-0800 (Pacific Standard Time)","4120","2780","10285"
"Tue Jan 16 2024 19:38:00 GMT-0800 (Pacific Standard Time)","4170","2795","10430"
"Tue Jan 16 2024 19:39:00 GMT-0800 (Pacific Standard Time)","4190","2853","10454"
"Tue Jan 16 2024 19:40:00 GMT-0800 (Pacific Standard Time)","4206","2821","10416"
"Tue Jan 16 2024 19:41:00 GMT-0800 (Pacific Standard Time)","4094","2763","10254"
"Tue Jan 16 2024 19:42:00 GMT-0800 (Pacific Standard Time)","4177","2796","10396"
"Tue Jan 16 2024 19:43:00 GMT-0800 (Pacific Standard Time)","4408","2970","11026"
"Tue Jan 16 2024 19:44:00 GMT-0800 (Pacific Standard Time)","4580","3040","11352"
"Tue Jan 16 2024 19:45:00 GMT-0800 (Pacific Standard Time)","4275","2925","10803"
"Tue Jan 16 2024 19:46:00 GMT-0800 (Pacific Standard Time)","4280","2985","10943"
"Tue Jan 16 2024 19:47:00 GMT-0800 (Pacific Standard Time)","4266","2883","10638"
"Tue Jan 16 2024 19:48:00 GMT-0800 (Pacific Standard Time)","4088","2783","10318"
"Tue Jan 16 2024 19:49:00 GMT-0800 (Pacific Standard Time)","4226","2836","10502"
"Tue Jan 16 2024 19:50:00 GMT-0800 (Pacific Standard Time)","4350","2931","10864"
"Tue Jan 16 2024 19:51:00 GMT-0800 (Pacific Standard Time)","4250","2858","10587"
"Tue Jan 16 2024 19:52:00 GMT-0800 (Pacific Standard Time)","4171","2851","10526"
"Tue Jan 16 2024 19:53:00 GMT-0800 (Pacific Standard Time)","4268","2822","10438"
"Tue Jan 16 2024 19:54:00 GMT-0800 (Pacific Standard Time)","4020","2726","10077"
"Tue Jan 16 2024 19:55:00 GMT-0800 (Pacific Standard Time)","4111","2789","10231"
"Tue Jan 16 2024 19:56:00 GMT-0800 (Pacific Standard Time)","3950","2671","9935"
"Tue Jan 16 2024 19:57:00 GMT-0800 (Pacific Standard Time)","4427","2938","10907"
"Tue Jan 16 2024 19:58:00 GMT-0800 (Pacific Standard Time)","4213","2887","10561"
"Tue Jan 16 2024 19:59:00 GMT-0800 (Pacific Standard Time)","4307","2888","10788"
"Tue Jan 16 2024 20:00:00 GMT-0800 (Pacific Standard Time)","4243","2892","10707"
"Tue Jan 16 2024 20:01:00 GMT-0800 (Pacific Standard Time)","4230","2838","10467"
"Tue Jan 16 2024 20:02:00 GMT-0800 (Pacific Standard Time)","4100","2792","10286"
"Tue Jan 16 2024 20:03:00 GMT-0800 (Pacific Standard Time)","4210","2816","10533"
"Tue Jan 16 2024 20:04:00 GMT-0800 (Pacific Standard Time)","4266","2890","10594"
"Tue Jan 16 2024 20:05:00 GMT-0800 (Pacific Standard Time)","4314","2867","10688"
"Tue Jan 16 2024 20:06:00 GMT-0800 (Pacific Standard Time)","4220","2815","10401"
"Tue Jan 16 2024 20:07:00 GMT-0800 (Pacific Standard Time)","4261","2878","10656"
"Tue Jan 16 2024 20:08:00 GMT-0800 (Pacific Standard Time)","4180","2877","10597"
"Tue Jan 16 2024 20:09:00 GMT-0800 (Pacific Standard Time)","4099","2809","10343"
"Tue Jan 16 2024 20:10:00 GMT-0800 (Pacific Standard Time)","4306","2841","10603"
"Tue Jan 16 2024 20:11:00 GMT-0800 (Pacific Standard Time)","4002","2727","10085"
"Tue Jan 16 2024 20:12:00 GMT-0800 (Pacific Standard Time)","4142","2802","10335"
"Tue Jan 16 2024 20:13:00 GMT-0800 (Pacific Standard Time)","4180","2813","10411"
"Tue Jan 16 2024 20:14:00 GMT-0800 (Pacific Standard Time)","4202","2833","10480"
"Tue Jan 16 2024 20:15:00 GMT-0800 (Pacific Standard Time)","3958","2617","9801"
"Tue Jan 16 2024 20:16:00 GMT-0800 (Pacific Standard Time)","3922","2644","9860"
"Tue Jan 16 2024 20:17:00 GMT-0800 (Pacific Standard Time)","4078","2714","10132"
"Tue Jan 16 2024 20:18:00 GMT-0800 (Pacific Standard Time)","4030","2747","10122"
"Tue Jan 16 2024 20:19:00 GMT-0800 (Pacific Standard Time)","4090","2772","10231"
"Tue Jan 16 2024 20:20:00 GMT-0800 (Pacific Standard Time)","4197","2800","10503"
"Tue Jan 16 2024 20:21:00 GMT-0800 (Pacific Standard Time)","4019","2685","9931"
"Tue Jan 16 2024 20:22:00 GMT-0800 (Pacific Standard Time)","3874","2640","9745"
"Tue Jan 16 2024 20:23:00 GMT-0800 (Pacific Standard Time)","3970","2707","9957"
"Tue Jan 16 2024 20:24:00 GMT-0800 (Pacific Standard Time)","3882","2622","9757"
"Tue Jan 16 2024 20:25:00 GMT-0800 (Pacific Standard Time)","4051","2752","10104"
"Tue Jan 16 2024 20:26:00 GMT-0800 (Pacific Standard Time)","3858","2550","9551"
"Tue Jan 16 2024 20:27:00 GMT-0800 (Pacific Standard Time)","3979","2681","9935"
"Tue Jan 16 2024 20:28:00 GMT-0800 (Pacific Standard Time)","3630","2458","9189"
"Tue Jan 16 2024 20:29:00 GMT-0800 (Pacific Standard Time)","3790","2602","9517"
"Tue Jan 16 2024 20:30:00 GMT-0800 (Pacific Standard Time)","3810","2557","9452"
"Tue Jan 16 2024 20:31:00 GMT-0800 (Pacific Standard Time)","3659","2457","9206"
"Tue Jan 16 2024 20:32:00 GMT-0800 (Pacific Standard Time)","3725","2505","9274"
"Tue Jan 16 2024 20:33:00 GMT-0800 (Pacific Standard Time)","3666","2509","9204"
"Tue Jan 16 2024 20:34:00 GMT-0800 (Pacific Standard Time)","3910","2676","9851"
"Tue Jan 16 2024 20:35:00 GMT-0800 (Pacific Standard Time)","4000","2650","9867"
"Tue Jan 16 2024 20:36:00 GMT-0800 (Pacific Standard Time)","3840","2564","9529"
"Tue Jan 16 2024 20:37:00 GMT-0800 (Pacific Standard Time)","3640","2496","9149"
"Tue Jan 16 2024 20:38:00 GMT-0800 (Pacific Standard Time)","3720","2519","9310"
"Tue Jan 16 2024 20:39:00 GMT-0800 (Pacific Standard Time)","3698","2448","9116"
"Tue Jan 16 2024 20:40:00 GMT-0800 (Pacific Standard Time)","3776","2605","9668"
"Tue Jan 16 2024 20:41:00 GMT-0800 (Pacific Standard Time)","3456","2361","8626"
"Tue Jan 16 2024 20:42:00 GMT-0800 (Pacific Standard Time)","3825","2537","9423"
"Tue Jan 16 2024 20:43:00 GMT-0800 (Pacific Standard Time)","3780","2565","9584"
"Tue Jan 16 2024 20:44:00 GMT-0800 (Pacific Standard Time)","3955","2704","9855"
"Tue Jan 16 2024 20:45:00 GMT-0800 (Pacific Standard Time)","3690","2455","9110"
"Tue Jan 16 2024 20:46:00 GMT-0800 (Pacific Standard Time)","3930","2660","9888"
"Tue Jan 16 2024 20:47:00 GMT-0800 (Pacific Standard Time)","3825","2562","9560"
"Tue Jan 16 2024 20:48:00 GMT-0800 (Pacific Standard Time)","3865","2631","9704"
"Tue Jan 16 2024 20:49:00 GMT-0800 (Pacific Standard Time)","3948","2678","9942"
"Tue Jan 16 2024 20:50:00 GMT-0800 (Pacific Standard Time)","4043","2732","10072"
"Tue Jan 16 2024 20:51:00 GMT-0800 (Pacific Standard Time)","3647","2513","9258"
"Tue Jan 16 2024 20:52:00 GMT-0800 (Pacific Standard Time)","3748","2552","9395"
"Tue Jan 16 2024 20:53:00 GMT-0800 (Pacific Standard Time)","3834","2590","9555"
"Tue Jan 16 2024 20:54:00 GMT-0800 (Pacific Standard Time)","4080","2740","10221"
"Tue Jan 16 2024 20:55:00 GMT-0800 (Pacific Standard Time)","3823","2535","9521"
"Tue Jan 16 2024 20:56:00 GMT-0800 (Pacific Standard Time)","3887","2665","9800"
"Tue Jan 16 2024 20:57:00 GMT-0800 (Pacific Standard Time)","3680","2497","9285"
"Tue Jan 16 2024 20:58:00 GMT-0800 (Pacific Standard Time)","3924","2606","9660"
"Tue Jan 16 2024 20:59:00 GMT-0800 (Pacific Standard Time)","3976","2671","9911"
"Tue Jan 16 2024 21:00:00 GMT-0800 (Pacific Standard Time)","4044","2681","10009"
"Tue Jan 16 2024 21:01:00 GMT-0800 (Pacific Standard Time)","3856","2673","9769"
"Tue Jan 16 2024 21:02:00 GMT-0800 (Pacific Standard Time)","3880","2615","9710"
"Tue Jan 16 2024 21:03:00 GMT-0800 (Pacific Standard Time)","3890","2659","9826"
"Tue Jan 16 2024 21:04:00 GMT-0800 (Pacific Standard Time)","3826","2576","9663"
"Tue Jan 16 2024 21:05:00 GMT-0800 (Pacific Standard Time)","3930","2620","9722"
"Tue Jan 16 2024 21:06:00 GMT-0800 (Pacific Standard Time)","3864","2594","9621"
"Tue Jan 16 2024 21:07:00 GMT-0800 (Pacific Standard Time)","4130","2774","10337"
"Tue Jan 16 2024 21:08:00 GMT-0800 (Pacific Standard Time)","4020","2669","9980"
"Tue Jan 16 2024 21:09:00 GMT-0800 (Pacific Standard Time)","3910","2679","9917"
"Tue Jan 16 2024 21:10:00 GMT-0800 (Pacific Standard Time)","3900","2593","9692"
"Tue Jan 16 2024 21:11:00 GMT-0800 (Pacific Standard Time)","3730","2505","9241"
"Tue Jan 16 2024 21:12:00 GMT-0800 (Pacific Standard Time)","3860","2601","9662"
"Tue Jan 16 2024 21:13:00 GMT-0800 (Pacific Standard Time)","3866","2623","9769"
"Tue Jan 16 2024 21:14:00 GMT-0800 (Pacific Standard Time)","3900","2671","9844"
"Tue Jan 16 2024 21:15:00 GMT-0800 (Pacific Standard Time)","4074","2756","10196"
"Tue Jan 16 2024 21:16:00 GMT-0800 (Pacific Standard Time)","4074","2753","10231"
"Tue Jan 16 2024 21:17:00 GMT-0800 (Pacific Standard Time)","4108","2683","10070"
"Tue Jan 16 2024 21:18:00 GMT-0800 (Pacific Standard Time)","3708","2446","9091"
