"timestamp","rpm_participant","rpm_friends","rpm_outbound"
"Mon Jan 15 2024 14:51:00 GMT-0800 (Pacific Standard Time)","3202","2140","7870"
"Mon Jan 15 2024 14:52:00 GMT-0800 (Pacific Standard Time)","3091","2063","7720"
"Mon Jan 15 2024 14:53:00 GMT-0800 (Pacific Standard Time)","3049","2091","7725"
"Mon Jan 15 2024 14:54:00 GMT-0800 (Pacific Standard Time)","3160","2168","7975"
"Mon Jan 15 2024 14:55:00 GMT-0800 (Pacific Standard Time)","3227","2172","8060"
"Mon Jan 15 2024 14:56:00 GMT-0800 (Pacific Standard Time)","3215","2167","7990"
"Mon Jan 15 2024 14:57:00 GMT-0800 (Pacific Standard Time)","3205","2135","7970"
"Mon Jan 15 2024 14:58:00 GMT-0800 (Pacific Standard Time)","3123","2141","7880"
"Mon Jan 15 2024 14:59:00 GMT-0800 (Pacific Standard Time)","3200","2127","7870"
"Mon Jan 15 2024 15:00:00 GMT-0800 (Pacific Standard Time)","3100","2119","7811"
"Mon Jan 15 2024 15:01:00 GMT-0800 (Pacific Standard Time)","3120","2093","7819"
"Mon Jan 15 2024 15:02:00 GMT-0800 (Pacific Standard Time)","3107","2115","7830"
"Mon Jan 15 2024 15:03:00 GMT-0800 (Pacific Standard Time)","3143","2120","7843"
"Mon Jan 15 2024 15:04:00 GMT-0800 (Pacific Standard Time)","3060","2084","7643"
"Mon Jan 15 2024 15:05:00 GMT-0800 (Pacific Standard Time)","3220","2114","7904"
"Mon Jan 15 2024 15:06:00 GMT-0800 (Pacific Standard Time)","3200","2132","7970"
"Mon Jan 15 2024 15:07:00 GMT-0800 (Pacific Standard Time)","3140","2118","7870"
"Mon Jan 15 2024 15:08:00 GMT-0800 (Pacific Standard Time)","3150","2136","7880"
"Mon Jan 15 2024 15:09:00 GMT-0800 (Pacific Standard Time)","3170","2139","7909"
"Mon Jan 15 2024 15:10:00 GMT-0800 (Pacific Standard Time)","3183","2161","7971"
"Mon Jan 15 2024 15:11:00 GMT-0800 (Pacific Standard Time)","3157","2156","8037"
"Mon Jan 15 2024 15:12:00 GMT-0800 (Pacific Standard Time)","3308","2214","8183"
"Mon Jan 15 2024 15:13:00 GMT-0800 (Pacific Standard Time)","3272","2239","8327"
"Mon Jan 15 2024 15:14:00 GMT-0800 (Pacific Standard Time)","3270","2236","8160"
"Mon Jan 15 2024 15:15:00 GMT-0800 (Pacific Standard Time)","3289","2226","8273"
"Mon Jan 15 2024 15:16:00 GMT-0800 (Pacific Standard Time)","3211","2162","8150"
"Mon Jan 15 2024 15:17:00 GMT-0800 (Pacific Standard Time)","3180","2211","8170"
"Mon Jan 15 2024 15:18:00 GMT-0800 (Pacific Standard Time)","3135","2135","7870"
"Mon Jan 15 2024 15:19:00 GMT-0800 (Pacific Standard Time)","3120","2152","7900"
"Mon Jan 15 2024 15:20:00 GMT-0800 (Pacific Standard Time)","3225","2180","8040"
"Mon Jan 15 2024 15:21:00 GMT-0800 (Pacific Standard Time)","3300","2188","8130"
"Mon Jan 15 2024 15:22:00 GMT-0800 (Pacific Standard Time)","3240","2197","8110"
"Mon Jan 15 2024 15:23:00 GMT-0800 (Pacific Standard Time)","3254","2195","8120"
"Mon Jan 15 2024 15:24:00 GMT-0800 (Pacific Standard Time)","3216","2153","8060"
"Mon Jan 15 2024 15:25:00 GMT-0800 (Pacific Standard Time)","3240","2199","8170"
"Mon Jan 15 2024 15:26:00 GMT-0800 (Pacific Standard Time)","3330","2188","8071"
"Mon Jan 15 2024 15:27:00 GMT-0800 (Pacific Standard Time)","3310","2253","8254"
"Mon Jan 15 2024 15:28:00 GMT-0800 (Pacific Standard Time)","3261","2236","8335"
"Mon Jan 15 2024 15:29:00 GMT-0800 (Pacific Standard Time)","3349","2271","8426"
"Mon Jan 15 2024 15:30:00 GMT-0800 (Pacific Standard Time)","3271","2193","8194"
"Mon Jan 15 2024 15:31:00 GMT-0800 (Pacific Standard Time)","3279","2208","8144"
"Mon Jan 15 2024 15:32:00 GMT-0800 (Pacific Standard Time)","3203","2201","8076"
"Mon Jan 15 2024 15:33:00 GMT-0800 (Pacific Standard Time)","3257","2169","8169"
"Mon Jan 15 2024 15:34:00 GMT-0800 (Pacific Standard Time)","3290","2187","8203"
"Mon Jan 15 2024 15:35:00 GMT-0800 (Pacific Standard Time)","3386","2299","8478"
"Mon Jan 15 2024 15:36:00 GMT-0800 (Pacific Standard Time)","3324","2261","8339"
"Mon Jan 15 2024 15:37:00 GMT-0800 (Pacific Standard Time)","3330","2262","8316"
"Mon Jan 15 2024 15:38:00 GMT-0800 (Pacific Standard Time)","3299","2215","8195"
"Mon Jan 15 2024 15:39:00 GMT-0800 (Pacific Standard Time)","3331","2241","8270"
"Mon Jan 15 2024 15:40:00 GMT-0800 (Pacific Standard Time)","3230","2190","8206"
"Mon Jan 15 2024 15:41:00 GMT-0800 (Pacific Standard Time)","3273","2189","8104"
"Mon Jan 15 2024 15:42:00 GMT-0800 (Pacific Standard Time)","3190","2202","8170"
"Mon Jan 15 2024 15:43:00 GMT-0800 (Pacific Standard Time)","3277","2202","8051"
"Mon Jan 15 2024 15:44:00 GMT-0800 (Pacific Standard Time)","3285","2233","8219"
"Mon Jan 15 2024 15:45:00 GMT-0800 (Pacific Standard Time)","3305","2186","8096"
"Mon Jan 15 2024 15:46:00 GMT-0800 (Pacific Standard Time)","3222","2167","8104"
"Mon Jan 15 2024 15:47:00 GMT-0800 (Pacific Standard Time)","3248","2199","8078"
"Mon Jan 15 2024 15:48:00 GMT-0800 (Pacific Standard Time)","3240","2138","8021"
"Mon Jan 15 2024 15:49:00 GMT-0800 (Pacific Standard Time)","3174","2143","8011"
"Mon Jan 15 2024 15:50:00 GMT-0800 (Pacific Standard Time)","3210","2167","7970"
"Mon Jan 15 2024 15:51:00 GMT-0800 (Pacific Standard Time)","1096","738","2711"
