"timestamp","rpm_participant","rpm_friends","rpm_outbound"
"Fri Dec 11 2020 12:12:00 GMT-0800 (Pacific Standard Time)","260","161","568"
"Fri Dec 11 2020 12:13:00 GMT-0800 (Pacific Standard Time)","2320","1526","5744"
"Fri Dec 11 2020 12:14:00 GMT-0800 (Pacific Standard Time)","3450","2281","8524"
"Fri Dec 11 2020 12:15:00 GMT-0800 (Pacific Standard Time)","3643","2482","9237"
"Fri Dec 11 2020 12:16:00 GMT-0800 (Pacific Standard Time)","3807","2618","9662"
"Fri Dec 11 2020 12:17:00 GMT-0800 (Pacific Standard Time)","3763","2549","9375"
"Fri Dec 11 2020 12:18:00 GMT-0800 (Pacific Standard Time)","3691","2529","9373"
"Fri Dec 11 2020 12:19:00 GMT-0800 (Pacific Standard Time)","3706","2503","9332"
"Fri Dec 11 2020 12:20:00 GMT-0800 (Pacific Standard Time)","3809","2556","9494"
"Fri Dec 11 2020 12:21:00 GMT-0800 (Pacific Standard Time)","3841","2614","9608"
"Fri Dec 11 2020 12:22:00 GMT-0800 (Pacific Standard Time)","3794","2583","9613"
"Fri Dec 11 2020 12:23:00 GMT-0800 (Pacific Standard Time)","3846","2573","9516"
"Fri Dec 11 2020 12:24:00 GMT-0800 (Pacific Standard Time)","3730","2551","9444"
"Fri Dec 11 2020 12:25:00 GMT-0800 (Pacific Standard Time)","3780","2543","9364"
"Fri Dec 11 2020 12:26:00 GMT-0800 (Pacific Standard Time)","3750","2528","9423"
"Fri Dec 11 2020 12:27:00 GMT-0800 (Pacific Standard Time)","3760","2517","9365"
"Fri Dec 11 2020 12:28:00 GMT-0800 (Pacific Standard Time)","3703","2516","9283"
"Fri Dec 11 2020 12:29:00 GMT-0800 (Pacific Standard Time)","3567","2396","8839"
"Fri Dec 11 2020 12:30:00 GMT-0800 (Pacific Standard Time)","3614","2433","9000"
"Fri Dec 11 2020 12:31:00 GMT-0800 (Pacific Standard Time)","3827","2546","9476"
"Fri Dec 11 2020 12:32:00 GMT-0800 (Pacific Standard Time)","3721","2567","9520"
"Fri Dec 11 2020 12:33:00 GMT-0800 (Pacific Standard Time)","3721","2512","9277"
"Fri Dec 11 2020 12:34:00 GMT-0800 (Pacific Standard Time)","3726","2509","9263"
"Fri Dec 11 2020 12:35:00 GMT-0800 (Pacific Standard Time)","3529","2391","8904"
"Fri Dec 11 2020 12:36:00 GMT-0800 (Pacific Standard Time)","3725","2552","9387"
"Fri Dec 11 2020 12:37:00 GMT-0800 (Pacific Standard Time)","3590","2414","8879"
"Fri Dec 11 2020 12:38:00 GMT-0800 (Pacific Standard Time)","3532","2405","8885"
"Fri Dec 11 2020 12:39:00 GMT-0800 (Pacific Standard Time)","3695","2504","9278"
"Fri Dec 11 2020 12:40:00 GMT-0800 (Pacific Standard Time)","3790","2523","9395"
"Fri Dec 11 2020 12:41:00 GMT-0800 (Pacific Standard Time)","3810","2599","9517"
"Fri Dec 11 2020 12:42:00 GMT-0800 (Pacific Standard Time)","3854","2577","9554"
"Fri Dec 11 2020 12:43:00 GMT-0800 (Pacific Standard Time)","3751","2526","4672"
"Fri Dec 11 2020 12:44:00 GMT-0800 (Pacific Standard Time)","3765","2567","9435"
"Fri Dec 11 2020 12:45:00 GMT-0800 (Pacific Standard Time)","3700","2538","9371"
"Fri Dec 11 2020 12:46:00 GMT-0800 (Pacific Standard Time)","3570","2424","8918"
"Fri Dec 11 2020 12:47:00 GMT-0800 (Pacific Standard Time)","3719","2494","9254"
"Fri Dec 11 2020 12:48:00 GMT-0800 (Pacific Standard Time)","3691","2532","9400"
"Fri Dec 11 2020 12:49:00 GMT-0800 (Pacific Standard Time)","3720","2536","9397"
"Fri Dec 11 2020 12:50:00 GMT-0800 (Pacific Standard Time)","3820","2544","9470"
"Fri Dec 11 2020 12:51:00 GMT-0800 (Pacific Standard Time)","3690","2479","9213"
"Fri Dec 11 2020 12:52:00 GMT-0800 (Pacific Standard Time)","3851","2631","9710"
"Fri Dec 11 2020 12:53:00 GMT-0800 (Pacific Standard Time)","3881","2563","4725"
"Fri Dec 11 2020 12:54:00 GMT-0800 (Pacific Standard Time)","3806","2531","9381"
"Fri Dec 11 2020 12:55:00 GMT-0800 (Pacific Standard Time)","3842","2541","9495"
